ID_Uzorka;GPS_LAT;GPS_LONG
1;18,477472;77,405854
2;18,469323;77,393165
3;18,47707;77,395422
4;18,4691;77,378714
5;18,473851;77,390142
6;18,472939;77,393494
7;18,491865;77,393903
8;18,479115;77,391574
9;18,467514;77,389691
10;18,490089;77,40654
11;18,482569;77,411174
12;18,488472;77,397131
13;18,482373;77,392029
14;18,49259;77,394335
15;18,484722;77,382125
16;18,474178;77,378266
17;18,501854;77,402868
18;18,484172;77,393729
19;18,493593;77,392343
20;18,479557;77,390348
21;18,476342;77,388571
22;18,496017;77,393831
23;18,479907;77,392997
24;18,486984;77,394875
25;18,476498;77,388615
26;18,474166;77,392559
27;18,474016;77,399291
28;18,463325;77,386236
29;18,488335;77,383737
30;18,483789;77,377937
31;18,477194;77,395408
32;18,478365;77,399278
33;18,469542;77,381365
34;18,470824;77,381785
35;18,474183;77,399037
36;18,479327;77,400518
37;18,487882;77,393041
38;18,473792;77,394105
39;18,467833;77,391902
40;18,501276;77,398977
41;18,471054;77,397494
42;18,489389;77,40832
43;18,484479;77,401485
44;18,473128;77,390308
45;18,480601;77,387356
46;18,480835;77,395333
47;18,479177;77,395035
48;18,472859;77,403862
49;18,474219;77,39435
50;18,479942;77,394266
51;18,470495;77,389233
52;18,47185;77,404364
53;18,475182;77,392103
54;18,468163;77,407062
55;18,493215;77,387933
56;18,458349;77,389449
57;18,477155;77,396244
58;18,500573;77,397343
59;18,481852;77,39674
60;18,462544;77,3929
61;18,480924;77,396247
62;18,471247;77,397544
63;18,484371;77,395354
64;18,487846;77,404939
65;18,46867;77,393245
66;18,481897;77,389477
67;18,474609;77,40292
68;18,481516;77,382583
69;18,481124;77,369546
70;18,470589;77,382903
71;18,483157;77,403216
72;18,476834;77,398806
73;18,480083;77,393279
74;18,477289;77,397311
75;18,480854;77,380328
76;18,493057;77,392385
77;18,477451;77,390591
78;18,475565;77,399731
79;18,482538;77,380018
80;18,472388;77,38704
81;18,482072;77,386024
82;18,476914;77,379728
83;18,486897;77,381639
84;18,482103;77,397104
85;18,49344;77,411335
86;18,471384;77,385835
87;18,492461;77,400696
88;18,473772;77,40053
89;18,47834;77,376649
90;18,480926;77,382654
91;18,458041;77,373552
92;18,484523;77,387565
93;18,47422;77,381648
94;18,476048;77,404388
95;18,461846;77,400592
96;18,46797;77,383141
97;18,469196;77,389095
98;18,475738;77,400283
99;18,480368;77,409839
100;18,496011;77,3839
101;18,485346;77,391055
102;18,474333;77,368356
103;18,482429;77,388726
104;18,482411;77,379916
105;18,466154;77,37432
106;18,47918;77,403675
107;18,461065;77,38821
108;18,483629;77,386656
109;18,474053;77,380934
110;18,473549;77,404609
111;18,48882;77,394977
112;18,468909;77,393483
113;18,470003;77,383971
114;18,484478;77,390328
115;18,492293;77,370548
116;18,485396;77,397194
117;18,475313;77,387268
118;18,468415;77,399277
119;18,471968;77,390773
120;18,51327;77,384582
121;18,49042;77,376581
122;18,480736;77,384463
123;18,501995;77,405017
124;18,485718;77,382309
125;18,47394;77,380274
126;18,482396;77,398698
127;18,482021;77,379954
128;18,480562;77,403401
129;18,47548;77,399027
130;18,478177;77,38065
131;18,477619;77,399411
132;18,488035;77,364175
133;18,478279;77,383248
134;18,485685;77,393082
135;18,467861;77,396656
136;18,476304;77,391479
137;18,495724;77,387916
138;18,500804;77,385402
139;18,499078;77,385309
140;18,473338;77,379885
141;18,482823;77,386052
142;18,452521;77,410501
143;18,486473;77,404802
144;18,471093;77,39947
145;18,465379;77,393476
146;18,487357;77,401889
147;18,486019;77,387197
148;18,489989;77,389146
149;18,490405;77,384057
150;18,466803;77,374361
151;18,479177;77,387466
152;18,486569;77,392261
153;18,486945;77,396529
154;18,4751;77,387133
155;18,481588;77,39472
156;18,485527;77,386156
157;18,460494;77,39852
